Time(s),Vout(V),Iload(A)
0.0013200,102.0665,1.71953
0.0013300,102.9917,1.77965
0.0013400,104.2718,1.65549
0.0013500,104.9626,1.74634
0.0013600,104.9321,1.67905
0.0013700,104.7715,1.81230
0.0013800,106.1424,1.63871
0.0013900,106.9238,1.76313
0.0014000,107.5802,1.67983
0.0014100,108.1021,1.81136
0.0014200,108.5914,1.71409
0.0014300,108.0754,1.65336
0.0014400,109.3068,1.64334
0.0014500,109.2054,1.78370
0.0014600,110.3520,1.79557
0.0014700,111.1434,1.69428
0.0014800,111.2383,1.61698
0.0014900,111.5941,1.62460
0.0015000,111.4438,1.70298
0.0015100,112.4897,1.69618
0.0015200,112.7685,1.69419
0.0015300,114.1442,1.67524
0.0015400,114.4341,1.70968
0.0015500,113.6475,1.69982
0.0015600,115.0072,1.73691
0.0015700,114.6202,1.57138
0.0015800,116.4049,1.71090
0.0015900,115.6594,1.56515
0.0016000,116.5573,1.62071
0.0016100,117.6932,1.55887
0.0016200,117.8152,1.52337
0.0016300,117.4330,1.54897
0.0016400,117.6610,1.51685
0.0016500,118.7957,1.68756
0.0016600,119.0809,1.52040
0.0016700,119.1500,1.56165
0.0016800,119.3926,1.59002
0.0016900,120.3853,1.61966
0.0017000,120.9752,1.55618
0.0017100,120.2212,1.46040
0.0017200,120.8445,1.50922
0.0017300,121.9875,1.64625
0.0017400,121.4111,1.45074
0.0017500,122.4104,1.63000
0.0017600,123.0591,1.61538
0.0017700,123.2511,1.46703
0.0017800,123.7895,1.48218
0.0017900,123.9763,1.52452
0.0018000,124.5343,1.54477
0.0018100,124.3930,1.49331
0.0018200,124.1171,1.49441
0.0018300,124.8873,1.46364
0.0018400,124.2444,1.43240
0.0018500,125.7487,1.54639
0.0018600,125.6473,1.41738
0.0018700,125.0790,1.39081
0.0018800,126.1824,1.54621
0.0018900,126.5268,1.44324
0.0019000,125.7744,1.48576
0.0019100,126.0731,1.48669
0.0019200,126.3707,1.39521
0.0019300,126.7438,1.35084
0.0019400,127.3254,1.39251
0.0019500,127.7824,1.45277
0.0019600,128.4838,1.36250
0.0019700,127.9899,1.32358
0.0019800,128.8704,1.40387
0.0019900,128.2830,1.39643
0.0020000,128.4014,1.38048
0.0020100,128.8291,1.47196
0.0020200,128.9906,1.47890
0.0020300,128.9945,1.34775
0.0020400,129.9722,1.48805
0.0020500,129.2656,1.47812
0.0020600,130.0319,1.42508
0.0020700,129.0383,1.42017
0.0020800,129.3444,1.43134
0.0020900,130.3558,1.34050
0.0021000,130.4704,1.43632
0.0021100,130.4051,1.47480
0.0021200,130.4945,1.43856
0.0021300,130.1548,1.38646
0.0021400,130.3876,1.37359
0.0021500,130.5665,1.37662
0.0021600,131.2196,1.51194
0.0021700,130.0293,1.33169
0.0021800,131.3830,1.46783
0.0021900,131.2737,1.33529
0.0022000,130.8778,1.51952
0.0022100,131.2578,1.48531
0.0022200,131.2277,1.39393
0.0022300,131.3848,1.51015
0.0022400,130.9723,1.37486
0.0022500,130.9619,1.45319
0.0022600,130.9851,1.47750
0.0022700,131.1765,1.46990
0.0022800,130.5967,1.54687
0.0022900,132.0817,1.58201
0.0023000,131.5452,1.58796
0.0023100,131.5467,1.45016
0.0023200,131.2550,1.47663
0.0023300,131.0881,1.50278
0.0023400,131.3075,1.47315
0.0023500,132.1757,1.46471
0.0023600,130.9147,1.65640
0.0023700,131.9570,1.64065
0.0023800,132.0989,1.61095
0.0023900,131.5060,1.61720
0.0024000,131.0268,1.71903
0.0024100,130.8565,1.62094
0.0024200,131.5702,1.71284
0.0024300,131.1706,1.65480
0.0024400,130.9431,1.60381
0.0024500,131.6903,1.75966
0.0024600,131.0105,1.67233
0.0024700,131.0705,1.82302
0.0024800,131.4963,1.78889
0.0024900,131.8327,1.83554
0.0025000,131.4465,1.76884
0.0025100,131.7345,1.84661
0.0025200,130.7468,1.93210
0.0025300,130.2474,1.92433
0.0025400,131.6173,1.85191
0.0025500,130.3423,1.88505
0.0025600,131.1942,1.97188
0.0025700,130.3610,2.00683
0.0025800,130.6670,1.90939
0.0025900,130.7201,1.97123
0.0026000,130.7342,2.11956
0.0026100,131.0634,2.15970
0.0026200,129.7770,2.03259
0.0026300,131.1321,2.18335
0.0026400,130.2025,2.22412
0.0026500,130.1227,2.26244
0.0026600,130.8588,2.26432
0.0026700,129.4610,2.29059
0.0026800,129.8981,2.30624
0.0026900,130.3256,2.39233
0.0027000,130.0022,2.28070
0.0027100,129.5601,2.36811
0.0027200,130.1562,2.45063
0.0027300,129.3821,2.34623
0.0027400,130.4640,2.43115
0.0027500,129.2785,2.58104
0.0027600,130.0666,2.54535
0.0027700,129.7349,2.57905
0.0027800,129.0180,2.57422
0.0027900,130.1773,2.67451
0.0028000,130.1664,2.64910
0.0028100,129.3820,2.74133
0.0028200,129.5473,2.67655
0.0028300,129.9606,2.87549
0.0028400,129.8995,2.76338
0.0028500,129.6181,2.90223
0.0028600,128.6801,2.95641
0.0028700,129.8109,2.93032
0.0028800,129.1941,2.91030
0.0028900,129.6874,2.96642
0.0029000,129.2906,3.01150
0.0029100,128.6367,3.10388
0.0029200,129.1459,3.26288
0.0029300,129.6048,3.26212
0.0029400,128.8909,3.19530
0.0029500,129.3096,3.26367
0.0029600,129.3245,3.39156
0.0029700,129.7849,3.38140
0.0029800,129.7945,3.53024
0.0029900,128.9959,3.41931
0.0030000,128.8985,3.46464
0.0030100,129.6491,3.53887
0.0030200,129.9361,3.63495
0.0030300,129.0424,3.78716
0.0030400,129.9674,3.80349
0.0030500,129.9079,3.82988
0.0030600,128.8050,3.87757
0.0030700,129.7526,3.79203
0.0030800,129.3369,4.00294
0.0030900,128.9479,3.91404
0.0031000,129.6800,4.06494
0.0031100,130.2560,4.01157
0.0031200,129.5577,4.15864
0.0031300,129.3109,4.18785
0.0031400,130.5897,4.35133
0.0031500,129.9817,4.22723
0.0031600,129.9358,4.30547
0.0031700,130.2356,4.38500
0.0031800,130.7662,4.46785
0.0031900,130.1165,4.53140
0.0032000,131.2304,4.56400
0.0032100,130.0827,4.58378
0.0032200,130.6053,4.71175
0.0032300,131.1229,4.75921
0.0032400,131.4771,4.85010
0.0032500,131.8519,4.86956
0.0032600,131.6783,5.01118
0.0032700,131.8980,4.88859
0.0032800,131.4869,5.01612
0.0032900,131.2028,5.05629
0.0033000,131.2157,5.13598
0.0033100,132.7098,5.20864
0.0033200,131.8572,5.36305
0.0033300,132.2609,5.39012
0.0033400,133.2038,5.34923
0.0033500,133.4661,5.34945
0.0033600,133.2299,5.46913
0.0033700,133.0301,5.62801
0.0033800,132.7781,5.68226
0.0033900,133.4027,5.65402
0.0034000,133.8256,5.77634
0.0034100,133.4452,5.78093
0.0034200,133.6834,5.76821
0.0034300,134.8976,5.98926
0.0034400,134.8396,5.95419
0.0034500,134.9333,6.02912
0.0034600,134.6835,6.11415
0.0034700,135.2336,6.08882
0.0034800,135.5733,6.32647
0.0034900,136.6619,6.36096
0.0035000,136.5659,6.43550
0.0035100,136.8317,6.35380
0.0035200,136.6874,6.45742
0.0035300,136.5149,6.56082
0.0035400,136.9979,6.66944
0.0035500,137.6715,6.64767
0.0035600,138.7605,6.72698
0.0035700,138.1475,6.83107
0.0035800,138.1227,6.87635
0.0035900,138.8896,6.90159
0.0036000,138.5996,6.88419
0.0036100,139.9166,7.03247
0.0036200,140.5086,7.09938
0.0036300,140.2680,7.08428
0.0036400,140.8464,7.20480
0.0036500,140.9159,7.20945
0.0036600,140.7633,7.26121
0.0036700,141.6052,7.45690
0.0036800,142.4257,7.48251
0.0036900,142.1369,7.60700
0.0037000,142.0817,7.47885
0.0037100,143.0754,7.62847
0.0037200,143.5161,7.73665
0.0037300,143.6710,7.79380
0.0037400,144.7305,7.73315
0.0037500,144.7527,7.82528
0.0037600,145.4037,7.97330
0.0037700,145.6184,8.05874
0.0037800,146.1984,7.99423
0.0037900,146.5937,8.20088
0.0038000,146.2025,8.10913
0.0038100,146.7193,8.15769
0.0038200,147.0579,8.30075
0.0038300,148.0830,8.30270
0.0038400,148.0069,8.44904
0.0038500,149.0222,8.39602
0.0038600,148.2488,8.41804
0.0038700,148.6614,8.61892
0.0038800,149.5599,8.66660
0.0038900,150.3775,8.62406
0.0039000,149.8918,8.67331
0.0039100,150.2832,8.87574
0.0039200,151.2951,8.78233
0.0039300,151.9021,8.95458
0.0039400,151.1525,9.03932
0.0039500,151.8332,8.92774
0.0039600,152.0817,9.13979
0.0039700,153.2223,9.19744
0.0039800,153.8513,9.23372
0.0039900,153.1794,9.28234
0.0040000,154.1179,9.24132
0.0040100,154.3085,9.26046
0.0040200,155.3314,9.41740
0.0040300,154.8780,9.40271
0.0040400,155.9990,9.42428
0.0040500,155.9085,9.50477
0.0040600,155.9253,9.66904
0.0040700,157.1547,9.64402
0.0040800,157.3523,9.76962
0.0040900,158.0241,9.79736
0.0041000,158.2666,9.83318
0.0041100,158.0133,9.84527
0.0041200,159.4142,9.89225
0.0041300,159.1990,9.85273
0.0041400,158.8725,10.00269
0.0041500,160.1676,10.04682
0.0041600,160.0250,10.06725
0.0041700,161.4505,10.16106
0.0041800,161.5473,10.26771
0.0041900,161.6441,10.13115
0.0042000,162.5128,10.32981
0.0042100,161.5860,10.39906
0.0042200,162.9100,10.38500
0.0042300,163.1126,10.50857
0.0042400,162.5181,10.47793
0.0042500,164.1278,10.54304
0.0042600,164.0638,10.53363
0.0042700,164.8262,10.48841
0.0042800,164.6815,10.61449
0.0042900,164.6460,10.68050
0.0043000,165.3364,10.69253
0.0043100,164.8599,10.71140
0.0043200,165.9480,10.74067
0.0043300,165.6584,10.88690
0.0043400,166.1661,10.87133
0.0043500,166.6141,10.98718
0.0043600,167.3886,10.86434
0.0043700,167.6785,10.90631
0.0043800,167.3757,10.92441
0.0043900,168.1962,11.14123
0.0044000,167.5427,11.01924
0.0044100,168.8166,11.18499
0.0044200,168.9266,11.10255
0.0044300,169.1640,11.17824
0.0044400,169.5274,11.24929
0.0044500,169.3307,11.18816
0.0044600,168.9734,11.36356
0.0044700,170.2587,11.36167
0.0044800,170.1516,11.37035
0.0044900,169.2686,11.44054
0.0045000,169.4376,11.34166
0.0045100,170.9173,11.55401
0.0045200,170.5206,11.45004
0.0045300,171.1679,11.59403
0.0045400,170.5611,11.60804
0.0045500,171.0988,11.60531
0.0045600,171.5912,11.69874
0.0045700,170.8627,11.67347
0.0045800,171.3702,11.58549
0.0045900,171.6073,11.74571
0.0046000,171.8303,11.69216
0.0046100,172.0178,11.82541
0.0046200,172.0111,11.79931
0.0046300,172.5616,11.82900
0.0046400,171.8260,11.76562
0.0046500,171.9758,11.81319
0.0046600,172.0725,11.91353
0.0046700,171.9211,11.89287
0.0046800,172.1820,11.96361
0.0046900,172.3657,12.03734
0.0047000,172.1453,12.02959
0.0047100,172.2252,12.06493
0.0047200,173.3594,12.00178
0.0047300,173.1875,12.07757
0.0047400,172.9935,12.02525
0.0047500,173.4580,12.12224
0.0047600,173.2857,12.07814
0.0047700,172.8590,12.05545
0.0047800,172.3306,12.21260
0.0047900,172.4371,12.23892
0.0048000,173.3427,12.25685
0.0048100,172.5318,12.21187
0.0048200,172.2873,12.14375
0.0048300,171.9794,12.27412
0.0048400,173.3423,12.32400
0.0048500,172.8835,12.27601
0.0048600,172.9150,12.38018
0.0048700,171.9583,12.22793
0.0048800,172.0253,12.33940
0.0048900,172.2949,12.39379
0.0049000,172.7290,12.25636
0.0049100,172.2949,12.35065
0.0049200,172.5248,12.45233
0.0049300,171.5011,12.35223
0.0049400,172.1810,12.30685
0.0049500,171.3646,12.47736
0.0049600,171.5152,12.47328
0.0049700,170.6573,12.49427
0.0049800,171.4191,12.41542
0.0049900,170.6809,12.54536
0.0050000,171.2675,12.55964
0.0050100,171.1511,12.40735
0.0050200,171.2497,12.42918
0.0050300,170.9016,12.50720
0.0050400,170.5365,12.44711
0.0050500,170.4733,12.51412
0.0050600,169.2806,12.48203
0.0050700,169.2397,12.56326
0.0050800,169.3699,12.54649
0.0050900,168.4868,12.49495
0.0051000,169.4294,12.50152
0.0051100,168.0959,12.52831
0.0051200,168.5115,12.61059
0.0051300,168.6250,12.57187
0.0051400,167.5842,12.69237
0.0051500,167.6148,12.55907
0.0051600,167.9530,12.53488
0.0051700,167.3491,12.57626
0.0051800,167.5530,12.57525
0.0051900,166.8744,12.53950
0.0052000,166.9613,12.53964
0.0052100,165.7897,12.62292
0.0052200,165.3695,12.57369
0.0052300,166.1015,12.54960
0.0052400,165.6920,12.70323
0.0052500,164.3254,12.57270
0.0052600,165.4126,12.60809
0.0052700,164.5473,12.57221
0.0052800,164.5659,12.73586
0.0052900,164.4431,12.58108
0.0053000,163.0527,12.57939
0.0053100,163.2852,12.69688
0.0053200,163.0779,12.67267
0.0053300,161.7750,12.74606
0.0053400,162.6248,12.69272
0.0053500,161.4194,12.74915
0.0053600,160.7976,12.66258
0.0053700,160.7028,12.69842
0.0053800,161.1229,12.77004
0.0053900,161.0088,12.67887
0.0054000,159.9408,12.75980
0.0054100,159.2800,12.62007
0.0054200,159.8496,12.63250
0.0054300,158.3375,12.73290
0.0054400,158.7414,12.74264
0.0054500,159.0182,12.62657
0.0054600,158.5439,12.78270
0.0054700,157.8211,12.59516
0.0054800,157.0959,12.63258
0.0054900,156.6210,12.62326
0.0055000,155.7278,12.73871
0.0055100,155.5312,12.60850
0.0055200,155.7093,12.59697
0.0055300,154.8905,12.64373
0.0055400,154.3338,12.64227
0.0055500,154.5700,12.61065
0.0055600,153.7390,12.71863
0.0055700,153.6389,12.58777
0.0055800,153.4442,12.59403
0.0055900,153.4968,12.63471
0.0056000,151.9502,12.73649
0.0056100,152.3241,12.65875
0.0056200,151.6303,12.75576
0.0056300,151.5496,12.73389
0.0056400,151.3635,12.58217
0.0056500,151.3650,12.74915
0.0056600,150.4579,12.68329
0.0056700,149.2961,12.70170
0.0056800,150.2387,12.59987
0.0056900,149.4251,12.71339
0.0057000,148.7716,12.59477
0.0057100,148.8761,12.74427
0.0057200,147.4768,12.63650
0.0057300,147.2369,12.67481
0.0057400,147.6278,12.70552
0.0057500,146.0545,12.55421
0.0057600,146.4418,12.73704
0.0057700,146.2785,12.68990
0.0057800,145.9331,12.67917
0.0057900,145.4236,12.54889
0.0058000,144.3955,12.68647
0.0058100,144.5456,12.66946
0.0058200,143.9550,12.68704
0.0058300,143.0308,12.60552
0.0058400,142.5370,12.53960
0.0058500,143.2188,12.63442
0.0058600,142.6187,12.57897
0.0058700,141.7693,12.69549
0.0058800,141.6882,12.49999
0.0058900,141.7548,12.53126
0.0059000,140.6296,12.59032
0.0059100,141.0695,12.59088
0.0059200,139.5640,12.52820
0.0059300,140.3515,12.59115
0.0059400,139.9014,12.65934
0.0059500,138.8073,12.59246
0.0059600,139.1230,12.51004
0.0059700,137.8092,12.65202
0.0059800,138.0084,12.56336
0.0059900,137.4339,12.56436
0.0060000,137.2389,12.59626
0.0060100,137.3647,12.58657
0.0060200,136.6025,12.45990
0.0060300,135.4460,12.52661
0.0060400,135.5595,12.49020
0.0060500,134.5708,12.60853
0.0060600,134.3755,12.49045
0.0060700,134.5714,12.55661
0.0060800,134.7289,12.52941
0.0060900,133.3271,12.57016
0.0061000,132.8100,12.47077
0.0061100,132.2194,12.45474
0.0061200,132.4825,12.51596
0.0061300,131.8183,12.44412
0.0061400,132.1870,12.50333
0.0061500,131.6964,12.40856
0.0061600,131.4491,12.53144
0.0061700,131.4214,12.52572
0.0061800,130.8036,12.40586
0.0061900,129.9943,12.34907
0.0062000,130.1562,12.38525
0.0062100,129.6404,12.41158
0.0062200,129.2156,12.47988
0.0062300,128.0181,12.35708
0.0062400,127.4124,12.38873
0.0062500,128.3773,12.45702
0.0062600,126.9999,12.26244
0.0062700,126.2915,12.27011
0.0062800,127.1744,12.28784
0.0062900,126.0537,12.28048
0.0063000,126.3803,12.26492
0.0063100,125.1533,12.22027
0.0063200,125.5863,12.28089
0.0063300,125.4886,12.26820
0.0063400,124.9341,12.21180
0.0063500,124.5484,12.19091
0.0063600,123.0028,12.21564
0.0063700,122.7327,12.26658
0.0063800,123.1757,12.26917
0.0063900,122.5346,12.21845
0.0064000,121.9319,12.20746
0.0064100,122.5239,12.27207
0.0064200,121.0639,12.10927
0.0064300,120.8047,12.26817
0.0064400,121.2137,12.24734
0.0064500,121.0488,12.06445
0.0064600,120.1523,12.15974
0.0064700,119.9759,12.06864
0.0064800,118.8431,12.03123
0.0064900,119.1592,12.18710
0.0065000,118.1449,12.05194
0.0065100,118.0460,12.04677
0.0065200,117.5376,12.13598
0.0065300,117.0293,11.97625
0.0065400,117.5009,12.03674
0.0065500,116.1643,11.96580
0.0065600,116.4667,11.97344
0.0065700,115.8650,11.92818
0.0065800,115.9595,11.99049
0.0065900,114.4678,11.86204
0.0066000,113.7592,11.91009
0.0066100,114.3994,11.96911
0.0066200,114.0656,11.99112
0.0066300,113.1033,11.85025
0.0066400,113.0154,11.79049
0.0066500,112.4339,11.84825
0.0066600,111.6190,11.73217
0.0066700,110.9162,11.79389
0.0066800,111.5375,11.76971
0.0066900,110.7321,11.78877
0.0067000,110.3505,11.71105
0.0067100,110.6003,11.80758
0.0067200,110.0928,11.75902
0.0067300,108.8288,11.66175
0.0067400,107.9072,11.63706
0.0067500,107.6679,11.55500
0.0067600,107.1280,11.55174
0.0067700,107.7634,11.60357
0.0067800,107.0354,11.56502
0.0067900,106.5032,11.55732
0.0068000,105.1389,11.50660
0.0068100,105.8671,11.45347
0.0068200,105.1915,11.38108
0.0068300,104.9262,11.38517
0.0068400,104.5947,11.35708
0.0068500,104.1255,11.37211
0.0068600,103.0480,11.31388
0.0068700,102.1137,11.30655
0.0068800,102.3916,11.29968
0.0068900,101.8891,11.21802
0.0069000,100.5038,11.22472
0.0069100,101.2636,11.14322
0.0069200,99.9447,11.22819
0.0069300,100.0978,11.12365
0.0069400,98.9074,11.13046
0.0069500,99.1821,11.06265
0.0069600,97.2608,11.10372
0.0069700,98.0579,11.11826
0.0069800,97.1348,11.05323
0.0069900,97.0025,11.04899
0.0070000,95.1362,10.95959
0.0070100,94.7288,11.00493
0.0070200,95.2824,10.97344
0.0070300,93.5087,10.92367
0.0070400,93.2535,10.88579
0.0070500,93.2359,10.73541
0.0070600,92.6915,10.72204
0.0070700,92.5030,10.64653
0.0070800,91.0749,10.71968
0.0070900,90.8750,10.70912
0.0071000,90.5626,10.67496
0.0071100,89.2034,10.57686
0.0071200,88.6750,10.57384
0.0071300,89.0288,10.41576
0.0071400,87.9780,10.40994
0.0071500,86.6032,10.46850
0.0071600,86.5964,10.27126
0.0071700,85.8228,10.28741
0.0071800,86.0258,10.31550
0.0071900,84.1199,10.13128
0.0072000,83.5201,10.14369
0.0072100,82.9935,10.23139
0.0072200,82.2540,10.01949
0.0072300,81.9564,9.99657
0.0072400,81.8172,9.96246
0.0072500,81.1776,10.05492
0.0072600,80.7620,9.93752
0.0072700,80.2037,9.96729
0.0072800,79.6178,9.92115
0.0072900,78.6331,9.70254
0.0073000,78.3793,9.81548
0.0073100,76.5316,9.63619
0.0073200,76.6442,9.57963
0.0073300,75.1292,9.55422
0.0073400,74.6226,9.59794
0.0073500,74.9183,9.47275
0.0073600,73.6611,9.43910
0.0073700,73.3367,9.39462
0.0073800,71.7771,9.36871
0.0073900,71.9781,9.30031
0.0074000,70.3641,9.32349
0.0074100,69.4356,9.14087
0.0074200,68.8076,9.18289
0.0074300,68.8083,8.98589
0.0074400,68.1674,9.00067
0.0074500,66.8143,9.01916
0.0074600,66.9195,8.97257
0.0074700,64.9944,8.90411
0.0074800,64.4390,8.73893
0.0074900,63.9657,8.65346
0.0075000,63.1504,8.77093
0.0075100,63.2682,8.65060
0.0075200,61.2000,8.58148
0.0075300,61.4520,8.58862
0.0075400,60.5366,8.47807
0.0075500,59.7804,8.37871
0.0075600,58.1299,8.33791
0.0075700,57.5568,8.35549
0.0075800,57.5725,8.17310
0.0075900,56.9605,8.08046
0.0076000,55.8888,8.03333
0.0076100,54.7848,8.05850
0.0076200,53.5726,7.96842
0.0076300,53.0222,7.85839
0.0076400,52.6853,7.89290
0.0076500,52.0591,7.73601
0.0076600,51.1343,7.79900
0.0076700,50.2711,7.69967
0.0076800,49.8594,7.59246
0.0076900,48.9566,7.49962
0.0077000,48.4293,7.45252
0.0077100,46.5816,7.34559
0.0077200,46.4188,7.44196
0.0077300,45.3901,7.18678
0.0077400,45.0754,7.30325
0.0077500,43.3954,7.09971
0.0077600,42.4958,7.07340
0.0077700,42.2420,6.95867
0.0077800,40.7315,6.93817
0.0077900,40.7515,6.95448
0.0078000,39.9292,6.81470
0.0078100,38.1244,6.84714
0.0078200,37.6364,6.69983
0.0078300,37.0752,6.56306
0.0078400,35.7298,6.53388
0.0078500,35.9001,6.40639
0.0078600,34.5889,6.38411
0.0078700,32.9133,6.32084
0.0078800,32.5792,6.29878
0.0078900,31.4167,6.26973
0.0079000,31.0461,6.07637
0.0079100,30.4553,6.16599
0.0079200,29.6502,6.06059
0.0079300,28.1989,5.91695
0.0079400,27.1347,5.93982
0.0079500,27.1388,5.73184
0.0079600,25.4192,5.69804
0.0079700,25.6230,5.65266
0.0079800,24.3118,5.62365
0.0079900,23.9980,5.60738
0.0080000,22.0901,5.42053
0.0080100,21.3701,5.30261
0.0080200,21.2662,5.31572
0.0080300,19.6501,5.24011
0.0080400,19.1874,5.15458
0.0080500,18.0197,4.98706
0.0080600,18.1790,5.08384
0.0080700,17.1579,4.86555
0.0080800,15.1769,4.88788
0.0080900,14.2124,4.85069
0.0081000,14.6293,4.77050
0.0081100,12.9341,4.58025
0.0081200,12.8450,4.67756
0.0081300,11.2369,4.57895
0.0081400,11.0083,4.37790
0.0081500,9.9126,4.39860
0.0081600,9.2854,4.21960
0.0081700,8.4187,4.14318
0.0081800,7.4463,4.14504
0.0081900,5.8239,4.11057
0.0082000,4.9562,4.11240
0.0082100,4.3494,3.86991
0.0082200,3.5332,3.92735
0.0082300,2.3092,3.75256
0.0082400,1.4516,3.65866
0.0082500,1.6130,3.74711
0.0082600,0.6048,3.66230
0.0082700,-0.9034,3.54889
0.0082800,-1.5344,3.55688
0.0082900,-2.8581,3.37802
0.0083000,-2.8813,3.31498
0.0083100,-4.5485,3.20026
0.0083200,-3.9683,3.17796
0.0083300,-5.4529,3.03550
0.0083400,-6.2241,3.02074
0.0083500,-6.8711,3.06785
0.0083600,-8.2019,2.94664
0.0083700,-9.2186,2.86167
0.0083800,-9.4714,2.82611
0.0083900,-10.2495,2.62859
0.0084000,-11.9157,2.54938
0.0084100,-12.7534,2.48028
0.0084200,-13.6235,2.45816
0.0084300,-13.4687,2.40682
0.0084400,-14.4864,2.31875
0.0084500,-15.9110,2.22370
0.0084600,-15.9349,2.24002
0.0084700,-17.8790,2.08746
0.0084800,-17.5577,2.09991
0.0084900,-19.3752,2.03708
0.0085000,-19.6368,1.90249
0.0085100,-20.3885,1.90811
0.0085200,-21.8385,1.96012
0.0085300,-21.5590,1.75068
0.0085400,-22.8831,1.64413
0.0085500,-22.9792,1.58579
0.0085600,-24.8189,1.62279
0.0085700,-25.0538,1.65135
0.0085800,-26.8019,1.40639
0.0085900,-26.7500,1.40459
0.0086000,-27.3823,1.37933
0.0086100,-28.5890,1.22997
0.0086200,-29.7991,1.32429
0.0086300,-30.5219,1.29488
0.0086400,-30.7357,1.08334
0.0086500,-31.4971,1.00865
0.0086600,-32.7797,1.03288
